Mon Oct 31 16:25:19 2022    profiling_saves/first_profile.stat

         904343 function calls (903380 primitive calls) in 328.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.7/multiprocessing/context.py:89(Event)
        7    0.000    0.000    0.000    0.000 {built-in method torch.zeros}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.7/multiprocessing/synchronize.py:323(__init__)
       14    0.000    0.000    0.000    0.000 /usr/lib/python3.7/threading.py:216(__init__)
      137    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:1719(children)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:722(exec_module)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.7/multiprocessing/context.py:84(BoundedSemaphore)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.7/threading.py:763(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method torch._ops.profiler._record_function_enter}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.7/threading.py:335(notify)
       34    0.000    0.000    0.000    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/dist-packages/google/protobuf/internal/well_known_types.py:245(FromDatetime)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.7/multiprocessing/synchronize.py:144(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method torch._ops.profiler._record_function_exit}
       73    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/dist-packages/torch/optim/optimizer.py:270(add_param_group)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.7/typing.py:715(__instancecheck__)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.7/dist-packages/wandb/sdk/interface/interface_shared.py:115(_make_request)
